GEO_id,GEO_id2,GEO_displaylabel,NAICS_id,NAICS_display-label,YEAR_id,RCPTOTI,ESTAB,ECTGE20,EMP,PAYANN,EMPAVPW,HOURS,PAYANPW,CSTMTOT,RCPTOT,VALADD,CEXTOT
E600000US3606957529,3606957529,"Phelps town (balance), New York",31-33,Manufacturing,2012,7,12,6,368,18591,241,524,9860,195455,287215,91892,14037
E600000US3606961544,3606961544,"Richmond town, New York",31-33,Manufacturing,2012,8,7,3,137,5962,93,179,3541,20512,D,15283,D
E600000US3606966289,3606966289,"Seneca town, New York",31-33,Manufacturing,2012,7,3,0,26,1085,17,33,596,1113,3259,2143,D
E600000US3606977376,3606977376,"Victor village, New York",31-33,Manufacturing,2012,0,7,4,253,13382,161,357,5827,53849,90542,37445,D
E600000US3606977387,3606977387,"Victor town (balance), New York",31-33,Manufacturing,2012,3,44,26,1758,100973,952,1921,38961,335531,592160,267868,8874
E600000US3607115297,3607115297,"Chester village, New York",31-33,Manufacturing,2012,1,6,5,382,19978,249,401,9777,74848,D,179269,D
E600000US3607115308,3607115308,"Chester town (balance), New York",31-33,Manufacturing,2012,9,8,5,221,10154,119,220,5626,23489,D,20222,D
E600000US3607118300,3607118300,"Cornwall town (balance), New York",31-33,Manufacturing,2012,5,6,0,24,995,16,25,D,523,1880,1353,D
E600000US3607126319,3607126319,"Florida village, New York",31-33,Manufacturing,2012,5,11,5,318,16815,192,402,6534,72725,124758,51926,D
E600000US3607129542,3607129542,"Goshen village, New York",31-33,Manufacturing,2012,9,4,1,60,D,36,D,D,D,D,D,D
E600000US3607129553,3607129553,"Goshen town (balance), New York",31-33,Manufacturing,2012,8,12,3,167,8726,88,153,3040,27586,D,37354,D
E600000US3607139853,3607139853,"Kiryas Joel village, New York",31-33,Manufacturing,2012,9,31,1,323,8661,274,493,6558,41981,D,20866,790
E600000US3607147042,3607147042,"Middletown city, New York",31-33,Manufacturing,2012,1,29,10,685,30462,489,876,16838,74040,166340,92575,6929
E600000US3607147713,3607147713,"Minisink town, New York",31-33,Manufacturing,2012,1,8,0,29,1376,15,22,483,2653,D,7937,D
E600000US3607147988,3607147988,"Monroe village, New York",31-33,Manufacturing,2012,9,6,0,24,948,15,22,466,1370,3569,2200,D
E600000US3607147999,3607147999,"Monroe town (balance), New York",31-33,Manufacturing,2012,4,6,0,32,1334,22,24,855,1974,3834,1860,D
E600000US3607148142,3607148142,"Montgomery village, New York",31-33,Manufacturing,2012,9,3,0,8,D,5,D,D,D,D,D,D
E600000US3607148153,3607148153,"Montgomery town (balance), New York",31-33,Manufacturing,2012,1,11,4,293,14668,199,371,7514,138887,169563,29412,1157
E600000US3607150034,3607150034,"Newburgh city, New York",31-33,Manufacturing,2012,3,47,12,696,26946,502,940,14911,46023,109940,67573,2345
E600000US3607150045,3607150045,"Newburgh town, New York",31-33,Manufacturing,2012,8,14,4,516,23199,243,500,9423,129863,236608,106921,D
E600000US3607150848,3607150848,"New Windsor town, New York",31-33,Manufacturing,2012,1,30,10,755,35860,580,1104,23464,170321,286225,113961,29765
E600000US3607159388,3607159388,"Port Jervis city, New York",31-33,Manufacturing,2012,8,11,4,617,25946,407,756,16789,67350,D,60153,D
E600000US3607177849,3607177849,"Walden village, New York",31-33,Manufacturing,2012,3,4,2,e,D,D,D,D,D,D,D,D
E600000US3607177992,3607177992,"Wallkill town, New York",31-33,Manufacturing,2012,1,29,12,1145,64750,880,1836,44047,355650,646245,296283,18089
E600000US3607178355,3607178355,"Warwick village, New York",31-33,Manufacturing,2012,5,6,0,28,848,11,21,366,668,2172,1501,D
E600000US3607178366,3607178366,"Warwick town (balance), New York",31-33,Manufacturing,2012,5,11,1,78,2959,50,103,1477,7331,14268,6937,323
E600000US3607178839,3607178839,"Wawayanda town, New York",31-33,Manufacturing,2012,0,5,2,87,4108,64,128,2441,D,D,D,D
E600000US3607182750,3607182750,"Woodbury village, New York",31-33,Manufacturing,2012,7,6,0,22,681,13,19,402,547,1919,1372,D
E600000US3607301033,3607301033,"Albion village, New York",31-33,Manufacturing,2012,0,4,2,91,3139,81,132,2583,1980,D,6336,D
E600000US3607346415,3607346415,"Medina village, New York",31-33,Manufacturing,2012,2,14,7,1118,55943,830,1650,25219,152184,299062,146937,6147
